"date;""price"""
05/06/2018;119.82
04/06/2018;118.73
01/06/2018;117.26
31/05/2018;117.82
30/05/2018;115.57
29/05/2018;117.64
25/05/2018;116.22
24/05/2018;117.57
23/05/2018;118.33
18/05/2018;118.52
17/05/2018;118.96
16/05/2018;119.55
15/05/2018;118.56
14/05/2018;119.69
11/05/2018;118.71
09/05/2018;117.77
08/05/2018;117.20
07/05/2018;114.50
04/05/2018;113.08
30/04/2018;109.06
27/04/2018;109.06
26/04/2018;110.44
25/04/2018;112.67
24/04/2018;113.66
23/04/2018;110.46
20/04/2018;110.62
19/04/2018;111.39
18/04/2018;107.97
17/04/2018;110.68
16/04/2018;111.91
13/04/2018;114.16
12/04/2018;114.25
11/04/2018;115.74
10/04/2018;113.21
09/04/2018;113.02
04/04/2018;114.96
03/04/2018;113.39
30/03/2018;111.96
29/03/2018;111.96
28/03/2018;111.96
27/03/2018;113.64
26/03/2018;111.35
23/03/2018;112.37
22/03/2018;116.65
21/03/2018;118.97
20/03/2018;117.18
19/03/2018;117.91
16/03/2018;118.30
15/03/2018;118.51
14/03/2018;117.42
13/03/2018;119.24
12/03/2018;119.76
09/03/2018;118.18
08/03/2018;116.84
07/03/2018;116.97
06/03/2018;115.97
05/03/2018;115.66
02/03/2018;117.10
01/03/2018;118.83
28/02/2018;117.12
27/02/2018;118.62
26/02/2018;119.66
23/02/2018;117.61
22/02/2018;117.84
14/02/2018;114.06
13/02/2018;115.79
12/02/2018;113.29
09/02/2018;109.87
08/02/2018;114.53
07/02/2018;117.11
06/02/2018;118.43
05/02/2018;120.44
02/02/2018;120.72
01/02/2018;119.65
31/01/2018;120.28
30/01/2018;119.81
29/01/2018;120.84
26/01/2018;122.59
25/01/2018;121.93
24/01/2018;122.54
23/01/2018;122.55
22/01/2018;121.26
19/01/2018;119.90
18/01/2018;118.82
17/01/2018;117.92
16/01/2018;118.56
15/01/2018;118.88
12/01/2018;118.60
11/01/2018;118.09
10/01/2018;119.17
09/01/2018;118.05
08/01/2018;117.50
05/01/2018;116.18
04/01/2018;116.51
03/01/2018;116.14
02/01/2018;114.22
29/12/2017;112.30
28/12/2017;112.30
27/12/2017;113.13
21/12/2017;113.38
20/12/2017;112.25
19/12/2017;111.50
18/12/2017;111.41
15/12/2017;111.02
13/12/2017;112.06
12/12/2017;112.78
11/12/2017;112.32
08/12/2017;109.82
07/12/2017;109.76
06/12/2017;110.57
05/12/2017;111.91
04/12/2017;111.54
01/12/2017;110.32
30/11/2017;112.14
29/11/2017;111.67
28/11/2017;110.83
24/11/2017;113.27
23/11/2017;116.48
22/11/2017;118.98
21/11/2017;117.61
20/11/2017;114.24
17/11/2017;115.01
16/11/2017;113.98
15/11/2017;113.72
14/11/2017;116.07
10/11/2017;116.26
09/11/2017;114.28
08/11/2017;114.95
07/11/2017;113.97
06/11/2017;112.23
02/11/2017;112.45
31/10/2017;111.89
30/10/2017;112.42
27/10/2017;111.20
26/10/2017;110.04
25/10/2017;109.35
24/10/2017;108.74
23/10/2017;108.08
20/10/2017;107.42
19/10/2017;108.44
18/10/2017;108.63
17/10/2017;108.45
16/10/2017;107.93
13/10/2017;107.87
12/10/2017;106.94
11/10/2017;107.31
10/10/2017;105.45
09/10/2017;106.84
06/10/2017;104.94
29/09/2017;104.06
28/09/2017;104.13
27/09/2017;103.79
26/09/2017;102.65
25/09/2017;102.52
22/09/2017;103.09
21/09/2017;103.63
20/09/2017;103.18
19/09/2017;103.27
